financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2005-2006,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,9770,0,0,0,0,1,,
2005-2006,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2005-2006,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,200,0,0,0,0,1,,
2005-2006,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,13556,0,0,0,0,1,,
2005-2006,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,0,0,0,0,0,,,
2005-2006,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,221,0,0,0,0,1,,
2006-2007,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,7615,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,117340,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,64565,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,37953,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,388800,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,11090,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,97963,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1547857,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,49488,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,20592,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,0,0,0,0,0,,,,,,
2006-2007,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,1708,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,29325,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,44716,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,7392,0,0,0,0,1,,,,,
2006-2007,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,64953,0,0,0,0,1,,
2006-2007,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,675967,0,0,0,0,1,,
2006-2007,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,2777,0,0,0,0,1,,
2006-2007,Glass,Container,glass,Commercial,and,Industrial,21769,0,0,0,0,1,,,,
2006-2007,Glass,Container,glass,Construction,and,Demolition,5995,0,0,0,0,1,,,,
2006-2007,Glass,Container,glass,Municipal,Solid,Waste,160191,0,0,0,0,1,,,,
2006-2007,Glass,Other,glass,Commercial,and,Industrial,13355,0,0,0,0,1,,,,
