financial_year,wpm_material_type,wpm_material_name,waste_stream,recycled,waste_to_energy,export_interstate,export_international,disposal,recovery_rate,,,,,,,
2008-2009,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,2780,0,0,0,15833.793256,0.149351,,,,,
2008-2009,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,106288,0,0,0,8562.292229,0.925448,,,,,
2008-2009,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,0,0,0,0,3053.125603,0,,,,,
2008-2009,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,55981,0,0,0,120430.630757,0.317331,,
2008-2009,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,767912,0,0,0,637936.872415,0.546226,,
2008-2009,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,2207,0,0,0,15909.723641,0.121821,,
2008-2009,Glass,Container,glass,Commercial,and,Industrial,5306,0,0,0,31599.029175,0.143774,,,,
2008-2009,Glass,Container,glass,Construction,and,Demolition,0,0,0,0,591.709855,0,,,,
2008-2009,Glass,Container,glass,Municipal,Solid,Waste,161343,0,0,0,40002.684297,0.801323,,,,
2008-2009,Glass,Other,glass,Commercial,and,Industrial,19251,0,0,0,15508.721579,0.55383,,,,
2008-2009,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,2886.852264,0,,,,
2008-2009,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,39612.045735,0,,,,
2008-2009,Metals,Aluminium,Commercial,and,Industrial,14737,0,0,0,19615.584751,0.428992,,,,,
2008-2009,Metals,Aluminium,Construction,and,Demolition,946,0,0,0,3410.256664,0.217158,,,,,
2008-2009,Metals,Aluminium,Municipal,Solid,Waste,946,0,0,0,21594.938568,0.041968,,,,,
2008-2009,Metals,Ferrous,Commercial,and,Industrial,548741.2,0,0,0,63754.993699,0.895909,,,,,
2008-2009,Metals,Ferrous,Construction,and,Demolition,107200,0,0,0,14603.181331,0.880108,,,,,
2008-2009,Metals,Ferrous,Municipal,Solid,Waste,170322.88,0,0,0,36275.136978,0.824416,,,,,
2008-2009,Metals,Other,metals,Commercial,and,Industrial,37822,0,0,0,0,1,,,,
2008-2009,Metals,Other,metals,Construction,and,Demolition,3286,0,0,0,0,1,,,,
2008-2009,Metals,Other,metals,Municipal,Solid,Waste,11749,0,0,0,0,1,,,,
2008-2009,Organics,Food,organics,Commercial,and,Industrial,12546,0,0,0,278405.825373,0.04312,,,,
2008-2009,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,2633.876844,0,,,,
2008-2009,Organics,Food,organics,Municipal,Solid,Waste,0,0,0,0,656249.303917,0,,,,
2008-2009,Organics,Garden,organics,Commercial,and,Industrial,9175,0,0,0,70172.240284,0.11563,,,,
2008-2009,Organics,Garden,organics,Construction,and,Demolition,5588,0,0,0,18986.377935,0.227391,,,,
2008-2009,Organics,Garden,organics,Municipal,Solid,Waste,312070,0,0,0,103987.344813,0.750064,,,,
2008-2009,Organics,Other,organics,Commercial,and,Industrial,6536,0,0,0,34639.302336,0.158735,,,,
2008-2009,Organics,Other,organics,Construction,and,Demolition,3000,0,0,0,461.11262,0.866773,,,,
2008-2009,Organics,Other,organics,Municipal,Solid,Waste,35088,0,0,0,103721.984635,0.252777,,,,
2008-2009,Organics,Wood,/timber,Commercial,and,Industrial,93001,0,0,0,270602.687154,0.255775,,,,
2008-2009,Organics,Wood,/timber,Construction,and,Demolition,28621,0,0,0,103542.424637,0.216557,,,,
2008-2009,Organics,Wood,/timber,Municipal,Solid,Waste,35922.9,0,0,0,29023.304295,0.553117,,,,
2008-2009,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,277129.2,0,0,0,90256.060632,0.754328,,,
2008-2009,Paper,and,cardboard,Cardboard,Construction,and,Demolition,0,0,0,0,3791.508017,0,,,
2008-2009,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,172247.78,0,0,0,38120.570483,0.818791,,,
2008-2009,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,37774,0,0,0,32602.272159,0.536743,,,
2008-2009,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,470.744196,0,,,
2008-2009,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,2,0,0,0,28943.914368,6.9E-05,,,
2008-2009,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,333621,0,0,0,0,1,
2008-2009,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,0,0,,
2008-2009,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,13404,0,0,0,0,1,
2008-2009,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,1362,0,0,0,97327.995879,0.0138,,
2008-2009,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,0,1435.875918,0,,
2008-2009,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,24768,0,0,0,130242.957274,0.159782,,
2008-2009,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,2125,0,0,0,93574.317716,0.022204
2008-2009,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1467.169543,0
2008-2009,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,1288,0,0,0,86947.777859,0.014597
2008-2009,Plastic,HDPE,(2),Commercial,and,Industrial,0,0,0,0,62042.548697,0,,,,
2008-2009,Plastic,HDPE,(2),Construction,and,Demolition,0,0,0,0,3837.487531,0,,,,
2008-2009,Plastic,HDPE,(2),Municipal,Solid,Waste,0,0,0,0,74092.458408,0,,,,
2008-2009,Plastic,LDPE,(4),Commercial,and,Industrial,0,0,0,0,46467.013458,0,,,,
2008-2009,Plastic,LDPE,(4),Construction,and,Demolition,0,0,0,0,2874.10154,0,,,,
2008-2009,Plastic,LDPE,(4),Municipal,Solid,Waste,0,0,0,0,35340.434342,0,,,,
2008-2009,Plastic,Other,plastics,(7),Commercial,and,Industrial,0,0,0,0,34861.679911,0,,,
2008-2009,Plastic,Other,plastics,(7),Construction,and,Demolition,0,0,0,0,2057.620002,0,,,
2008-2009,Plastic,Other,plastics,(7),Municipal,Solid,Waste,0,0,0,0,87377.202753,0,,,
2008-2009,Plastic,PET,(1),Commercial,and,Industrial,0,0,0,0,25699.633142,0,,,,
2008-2009,Plastic,PET,(1),Construction,and,Demolition,0,0,0,0,1589.586885,0,,,,
2008-2009,Plastic,PET,(1),Municipal,Solid,Waste,0,0,0,0,49441.458393,0,,,,
2008-2009,Plastic,PP,(5),Commercial,and,Industrial,0,0,0,0,49841.71276,0,,,,
2008-2009,Plastic,PP,(5),Construction,and,Demolition,0,0,0,0,3082.835171,0,,,,
2008-2009,Plastic,PP,(5),Municipal,Solid,Waste,0,0,0,0,37907.058065,0,,,,
2008-2009,Plastic,PS,(6),Commercial,and,Industrial,0,0,0,0,12979.612699,0,,,,
2008-2009,Plastic,PS,(6),Construction,and,Demolition,0,0,0,0,802.821659,0,,,,
2008-2009,Plastic,PS,(6),Municipal,Solid,Waste,0,0,0,0,9871.629706,0,,,,
2008-2009,Plastic,PVC,(3),Commercial,and,Industrial,0,0,0,0,32708.623999,0,,,,
2008-2009,Plastic,PVC,(3),Construction,and,Demolition,0,0,0,0,2023.110582,0,,,,
2008-2009,Plastic,PVC,(3),Municipal,Solid,Waste,0,0,0,0,24876.506855,0,,,,
2008-2009,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,43557.039382,0,,,,,
2008-2009,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3250.277138,0,,,,,
2008-2009,Textiles,Clothing,Municipal,Solid,Waste,0,0,0,0,64563.023096,0,,,,,
2008-2009,Textiles,Other,textiles,Commercial,and,Industrial,854,0,0,0,66902.742164,0.012603,,,,
2008-2009,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,5793.520753,0,,,,
2008-2009,Textiles,Other,textiles,Municipal,Solid,Waste,355.6,0,0,0,21141.313543,0.016541,,,,
2008-2009,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,8672,0,0,0,0,1,,
2008-2009,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,24,0,0,0,0,1,,
2008-2009,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,1028,0,0,0,0,1,,
2008-2009,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,0,0,0,0,9367.036305,0,,
2008-2009,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,157.363327,0,,
2008-2009,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,0,2536.486103,0,,
2008-2009,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,13687,0,0,0,1019.618394,0.930669,,
2008-2009,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,35,0,0,0,112.862169,0.236706,,
2008-2009,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,198,0,0,0,0,1,,
2008-2009,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,7669,0,0,0,0,1,,
2008-2009,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,78,0,0,0,0,1,,
2008-2009,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,161,0,0,0,0,1,,
2009-2010,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,42840,0,0,0,3180.64079,0.930886,,,,,
2009-2010,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,141465,0,0,0,1022.078243,0.992826,,,,,
2009-2010,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,12000,0,0,0,814.438054,0.936443,,,,,
2009-2010,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,44789,0,0,0,27238.507714,0.621831,,,,,
2009-2010,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,469494,0,0,0,28895.081077,0.942023,,,,,
2009-2010,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,4083,0,0,0,53495.229073,0.070912,,,,,
2009-2010,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,164578,0,0,0,32184.340352,0.83643,,,,,
2009-2010,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,2086168,0,0,0,26284.423114,0.987557,,,,,
2009-2010,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,188152,0,0,0,434.325345,0.997696,,,,,
2009-2010,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,5,0,0,0,22466.778151,0.000222,,,,,
2009-2010,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,27200,0,0,0,15623.332073,0.635167,,,,,
2009-2010,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,0,0,0,0,4824.039639,0,,,,,
2009-2010,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,0,0,0,0,14211.752964,0,,,,,
2009-2010,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,81740,0,0,0,9945.496875,0.891525,,,,,
2009-2010,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,0,0,0,0,3258.594137,0,,,,,
2009-2010,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,24000,0,0,0,108093.515293,0.181689,,
2009-2010,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,534951,0,0,0,740993.066054,0.419258,,
2009-2010,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,2000,0,0,0,16980.412509,0.105371,,
2009-2010,Glass,Container,glass,Commercial,and,Industrial,28301,0,0,0,28361.971717,0.499461,,,,
2009-2010,Glass,Container,glass,Construction,and,Demolition,0,0,0,0,687.298256,0,,,,
2009-2010,Glass,Container,glass,Municipal,Solid,Waste,108748,0,0,0,42694.775607,0.718079,,,,
2009-2010,Glass,Other,glass,Commercial,and,Industrial,2950,0,0,0,13919.982173,0.174866,,,,
2009-2010,Glass,Other,glass,Construction,and,Demolition,16118,0,0,0,3353.211898,0.827786,,,,
2009-2010,Glass,Other,glass,Municipal,Solid,Waste,0,0,0,0,42277.847941,0,,,,
2009-2010,Metals,Aluminium,Commercial,and,Industrial,5046,0,0,0,17606.131405,0.22276,,,,,
2009-2010,Metals,Aluminium,Construction,and,Demolition,0,0,0,0,3961.170222,0,,,,,
2009-2010,Metals,Aluminium,Municipal,Solid,Waste,454,0,0,0,23048.229702,0.019317,,,,,
2009-2010,Metals,Ferrous,Commercial,and,Industrial,631049,0,0,0,57223.825393,0.916858,,,,,
2009-2010,Metals,Ferrous,Construction,and,Demolition,55202,0,0,0,16962.267861,0.764949,,,,,
2009-2010,Metals,Ferrous,Municipal,Solid,Waste,255333.32,0,0,0,38716.372678,0.868333,,,,,
2009-2010,Metals,Other,metals,Commercial,and,Industrial,41790,0,0,0,0,1,,,,
2009-2010,Metals,Other,metals,Construction,and,Demolition,53891,0,0,0,0,1,,,,
2009-2010,Metals,Other,metals,Municipal,Solid,Waste,9671,0,0,0,0,1,,,,
2009-2010,Organics,Food,organics,Commercial,and,Industrial,31971,0,0,0,249885.466459,0.11343,,,,
2009-2010,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,3059.369293,0,,,,
2009-2010,Organics,Food,organics,Municipal,Solid,Waste,0,0,0,0,700413.416378,0,,,,
2009-2010,Organics,Garden,organics,Commercial,and,Industrial,43673,0,0,0,62983.678492,0.409472,,,,
2009-2010,Organics,Garden,organics,Construction,and,Demolition,12,0,0,0,22053.552644,0.000543,,,,
2009-2010,Organics,Garden,organics,Municipal,Solid,Waste,340432,0,0,0,110985.460869,0.75414,,,,
2009-2010,Organics,Other,organics,Commercial,and,Industrial,52149,0,0,0,31090.794206,0.626491,,,,
2009-2010,Organics,Other,organics,Construction,and,Demolition,0,0,0,0,535.60355,0,,,,
2009-2010,Organics,Other,organics,Municipal,Solid,Waste,35505,0,0,0,110702.242544,0.24284,,,,
2009-2010,Organics,Wood,/timber,Commercial,and,Industrial,72682,0,0,0,242881.694786,0.230324,,,,
2009-2010,Organics,Wood,/timber,Construction,and,Demolition,59782,0,0,0,120269.296253,0.332027,,,,
2009-2010,Organics,Wood,/timber,Municipal,Solid,Waste,30459.6,0,0,0,30976.507852,0.495793,,,,
2009-2010,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,130996,0,0,0,81010.078656,0.617887,,,
2009-2010,Paper,and,cardboard,Cardboard,Construction,and,Demolition,9,0,0,0,4404.01123,0.002039,,,
2009-2010,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,61298.92,0,0,0,40685.999734,0.601058,,,
2009-2010,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,29262.44081,0,,,
2009-2010,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,546.79107,0,,,
2009-2010,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,30891.77516,0,,,
2009-2010,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,34702,0,0,0,0,1,
2009-2010,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,0,0,,
2009-2010,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,30751,0,0,0,0,1,
2009-2010,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,367602,0,0,0,87357.553015,0.807988,,
2009-2010,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,0,1667.836028,0,,
2009-2010,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,177554,0,0,0,139008.017409,0.560882,,
2009-2010,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,0,0,0,0,83988.407929,0
2009-2010,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1704.185014,0
2009-2010,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,981,0,0,0,92799.169116,0.01046
2009-2010,Plastic,HDPE,(2),Commercial,and,Industrial,0,0,0,0,55686.806124,0,,,,
2009-2010,Plastic,HDPE,(2),Construction,and,Demolition,0,0,0,0,4457.418554,0,,,,
2009-2010,Plastic,HDPE,(2),Municipal,Solid,Waste,0,0,0,0,79078.715378,0,,,,
2009-2010,Plastic,LDPE,(4),Commercial,and,Industrial,0,0,0,0,41706.854796,0,,,,
2009-2010,Plastic,LDPE,(4),Construction,and,Demolition,0,0,0,0,3338.401344,0,,,,
2009-2010,Plastic,LDPE,(4),Municipal,Solid,Waste,0,0,0,0,37718.766641,0,,,,
2009-2010,Plastic,Other,plastics,(7),Commercial,and,Industrial,0,0,0,0,31290.391048,0,,,
2009-2010,Plastic,Other,plastics,(7),Construction,and,Demolition,0,0,0,0,2390.020423,0,,,
2009-2010,Plastic,Other,plastics,(7),Municipal,Solid,Waste,0,0,0,0,93257.493347,0,,,
2009-2010,Plastic,PET,(1),Commercial,and,Industrial,0,0,0,0,23066.919691,0,,,,
2009-2010,Plastic,PET,(1),Construction,and,Demolition,0,0,0,0,1846.378396,0,,,,
2009-2010,Plastic,PET,(1),Municipal,Solid,Waste,0,0,0,0,52768.758119,0,,,,
2009-2010,Plastic,PP,(5),Commercial,and,Industrial,0,0,0,0,44735.844251,0,,,,
2009-2010,Plastic,PP,(5),Construction,and,Demolition,0,0,0,0,3580.855073,0,,,,
2009-2010,Plastic,PP,(5),Municipal,Solid,Waste,0,0,0,0,40458.118409,0,,,,
2009-2010,Plastic,PS,(6),Commercial,and,Industrial,0,0,0,0,11649.959441,0,,,,
2009-2010,Plastic,PS,(6),Construction,and,Demolition,0,0,0,0,932.514342,0,,,,
2009-2010,Plastic,PS,(6),Municipal,Solid,Waste,0,0,0,0,10535.968336,0,,,,
2009-2010,Plastic,PVC,(3),Commercial,and,Industrial,0,0,0,0,29357.897789,0,,,,
2009-2010,Plastic,PVC,(3),Construction,and,Demolition,0,0,0,0,2349.936142,0,,,,
2009-2010,Plastic,PVC,(3),Municipal,Solid,Waste,0,0,0,0,26550.640206,0,,,,
2009-2010,Textiles,Clothing,Commercial,and,Industrial,0,0,0,0,39094.983336,0,,,,,
2009-2010,Textiles,Clothing,Construction,and,Demolition,0,0,0,0,3775.346631,0,,,,,
2009-2010,Textiles,Clothing,Municipal,Solid,Waste,500,0,0,0,68907.970353,0.007203,,,,,
2009-2010,Textiles,Other,textiles,Commercial,and,Industrial,0,0,0,0,60049.113234,0,,,,
2009-2010,Textiles,Other,textiles,Construction,and,Demolition,0,0,0,0,6729.441253,0,,,,
2009-2010,Textiles,Other,textiles,Municipal,Solid,Waste,678.4,0,0,0,22564.076727,0.029187,,,,
2009-2010,Tyres,and,rubber,Offroad,tyres,Commercial,and,Industrial,9105,0,0,0,0,1,,
2009-2010,Tyres,and,rubber,Offroad,tyres,Construction,and,Demolition,3,0,0,0,0,1,,
2009-2010,Tyres,and,rubber,Offroad,tyres,Municipal,Solid,Waste,962,0,0,0,0,1,,
2009-2010,Tyres,and,rubber,Other,rubber,Commercial,and,Industrial,0,0,0,0,8407.461421,0,,
2009-2010,Tyres,and,rubber,Other,rubber,Construction,and,Demolition,0,0,0,0,182.784753,0,,
2009-2010,Tyres,and,rubber,Other,rubber,Municipal,Solid,Waste,0,0,0,0,2707.185953,0,,
2009-2010,Tyres,and,rubber,Passenger,tyres,Commercial,and,Industrial,11546,0,0,0,915.166978,0.926558,,
2009-2010,Tyres,and,rubber,Passenger,tyres,Construction,and,Demolition,119,0,0,0,131.094609,0.475819,,
2009-2010,Tyres,and,rubber,Passenger,tyres,Municipal,Solid,Waste,481,0,0,0,0,1,,
2009-2010,Tyres,and,rubber,Truck,tyres,Commercial,and,Industrial,11933,0,0,0,0,1,,
2009-2010,Tyres,and,rubber,Truck,tyres,Construction,and,Demolition,620,0,0,0,0,1,,
2009-2010,Tyres,and,rubber,Truck,tyres,Municipal,Solid,Waste,981,0,0,0,0,1,,
2010-2011,"Aggregate, masonry and soils",Asphalt,Commercial,and,Industrial,6007,0,0,0,3299.168471,0.645485,,,,,
2010-2011,"Aggregate, masonry and soils",Asphalt,Construction,and,Demolition,214077,0,0,0,1060.166343,0.995072,,,,,
2010-2011,"Aggregate, masonry and soils",Asphalt,Municipal,Solid,Waste,3394,0,0,0,814.927222,0.806381,,,,,
2010-2011,"Aggregate, masonry and soils",Bricks,Commercial,and,Industrial,5408,0,0,0,28253.560141,0.160658,,,,,
2010-2011,"Aggregate, masonry and soils",Bricks,Construction,and,Demolition,489649,0,0,0,29971.866283,0.942319,,,,,
2010-2011,"Aggregate, masonry and soils",Bricks,Municipal,Solid,Waste,2216,0,0,0,53527.359358,0.039753,,,,,
2010-2011,"Aggregate, masonry and soils",Concrete,Commercial,and,Industrial,6414,0,0,0,33383.700945,0.161165,,,,,
2010-2011,"Aggregate, masonry and soils",Concrete,Construction,and,Demolition,1996940,0,0,0,27263.921247,0.986531,,,,,
2010-2011,"Aggregate, masonry and soils",Concrete,Municipal,Solid,Waste,171552,0,0,0,434.586209,0.997473,,,,,
2010-2011,"Aggregate, masonry and soils",Plaster,Commercial,and,Industrial,0,0,0,0,23304.010423,0,,,,,
2010-2011,"Aggregate, masonry and soils",Plaster,Construction,and,Demolition,32000,0,0,0,16205.540955,0.663824,,,,,
2010-2011,"Aggregate, masonry and soils",Plaster,Municipal,Solid,Waste,234,0,0,0,4826.937052,0.046236,,,,,
2010-2011,"Aggregate, masonry and soils",Rubble,Commercial,and,Industrial,0,0,0,0,14741.358861,0,,,,,
2010-2011,"Aggregate, masonry and soils",Rubble,Construction,and,Demolition,167101,0,0,0,10316.119262,0.941853,,,,,
2010-2011,"Aggregate, masonry and soils",Rubble,Municipal,Solid,Waste,0,0,0,0,3260.551314,0,,,,,
2010-2011,"Aggregate, masonry and soils",Soil,and,natural,materials,Commercial,and,Industrial,37674,0,0,0,112121.657588,0.251502,,
2010-2011,"Aggregate, masonry and soils",Soil,and,natural,materials,Construction,and,Demolition,1060615,0,0,0,768606.429372,0.579817,,
2010-2011,"Aggregate, masonry and soils",Soil,and,natural,materials,Municipal,Solid,Waste,546,0,0,0,16990.611278,0.031134,,
2010-2011,Glass,Container,glass,Commercial,and,Industrial,63532,0,0,0,29418.890419,0.6835,,,,
2010-2011,Glass,Container,glass,Construction,and,Demolition,0,0,0,0,712.910663,0,,,,
2010-2011,Glass,Container,glass,Municipal,Solid,Waste,113422,0,0,0,42720.418928,0.7264,,,,
2010-2011,Glass,Other,glass,Commercial,and,Industrial,16029,0,0,0,14438.715131,0.526097,,,,
2010-2011,Glass,Other,glass,Construction,and,Demolition,0,0,0,0,3478.170501,0,,,,
2010-2011,Glass,Other,glass,Municipal,Solid,Waste,2518,0,0,0,42303.240847,0.056178,,,,
2010-2011,Metals,Aluminium,Commercial,and,Industrial,20451,0,0,0,18262.22999,0.528269,,,,,
2010-2011,Metals,Aluminium,Construction,and,Demolition,2500,0,0,0,4108.784601,0.378284,,,,,
2010-2011,Metals,Aluminium,Municipal,Solid,Waste,6530,0,0,0,23062.072921,0.220667,,,,,
2010-2011,Metals,Ferrous,Commercial,and,Industrial,712191,0,0,0,59356.291069,0.923068,,,,,
2010-2011,Metals,Ferrous,Construction,and,Demolition,55431,0,0,0,17594.372651,0.759064,,,,,
2010-2011,Metals,Ferrous,Municipal,Solid,Waste,152270.32,0,0,0,38739.626492,0.797185,,,,,
2010-2011,Metals,Other,metals,Commercial,and,Industrial,50235,0,0,0,0,1,,,,
2010-2011,Metals,Other,metals,Construction,and,Demolition,8042,0,0,0,0,1,,,,
2010-2011,Metals,Other,metals,Municipal,Solid,Waste,12882,0,0,0,0,1,,,,
2010-2011,Organics,Food,organics,Commercial,and,Industrial,22368,0,0,0,259197.534937,0.079441,,,,
2010-2011,Organics,Food,organics,Construction,and,Demolition,0,0,0,0,3173.37775,0,,,,
2010-2011,Organics,Food,organics,Municipal,Solid,Waste,0,0,0,0,700834.098436,0,,,,
2010-2011,Organics,Garden,organics,Commercial,and,Industrial,73275,0,0,0,65330.787092,0.528657,,,,
2010-2011,Organics,Garden,organics,Construction,and,Demolition,0,0,0,0,22875.385923,0,,,,
2010-2011,Organics,Garden,organics,Municipal,Solid,Waste,348527,0,0,0,111052.120918,0.758361,,,,
2010-2011,Organics,Other,organics,Commercial,and,Industrial,11451,0,0,0,32249.403422,0.262034,,,,
2010-2011,Organics,Other,organics,Construction,and,Demolition,2763,0,0,0,555.563003,0.832589,,,,
2010-2011,Organics,Other,organics,Municipal,Solid,Waste,12879,0,0,0,110768.732485,0.104158,,,,
2010-2011,Organics,Wood,/timber,Commercial,and,Industrial,46037,0,0,0,251932.765286,0.154502,,,,
2010-2011,Organics,Wood,/timber,Construction,and,Demolition,44652,0,0,0,124751.173245,0.263584,,,,
2010-2011,Organics,Wood,/timber,Municipal,Solid,Waste,16269.6,0,0,0,30995.11295,0.344222,,,,
2010-2011,Paper,and,cardboard,Cardboard,Commercial,and,Industrial,183892,0,0,0,84028.947303,0.686366,,,
2010-2011,Paper,and,cardboard,Cardboard,Construction,and,Demolition,0,0,0,0,4568.128235,0,,,
2010-2011,Paper,and,cardboard,Cardboard,Municipal,Solid,Waste,27589.92,0,0,0,40710.436546,0.403949,,,
2010-2011,Paper,and,cardboard,Liquidpaperboard,Commercial,and,Industrial,0,0,0,0,30352.915805,0,,,
2010-2011,Paper,and,cardboard,Liquidpaperboard,Construction,and,Demolition,0,0,0,0,567.167429,0,,,
2010-2011,Paper,and,cardboard,Liquidpaperboard,Municipal,Solid,Waste,0,0,0,0,30910.329367,0,,,
2010-2011,Paper,and,cardboard,Newsprint,and,magazines,Commercial,and,Industrial,27000,0,0,0,0,1,
2010-2011,Paper,and,cardboard,Newsprint,and,magazines,Construction,and,Demolition,0,0,0,0,0,,
2010-2011,Paper,and,cardboard,Newsprint,and,magazines,Municipal,Solid,Waste,0,0,0,0,0,,
2010-2011,Paper,and,cardboard,Other,paper,Commercial,and,Industrial,402944,0,0,0,90612.962492,0.816408,,
2010-2011,Paper,and,cardboard,Other,paper,Construction,and,Demolition,0,0,0,0,1729.988515,0,,
2010-2011,Paper,and,cardboard,Other,paper,Municipal,Solid,Waste,187015,0,0,0,139091.508355,0.573478,,
2010-2011,Paper,and,cardboard,Printing,and,writing,paper,Commercial,and,Industrial,0,0,0,0,87118.265047,0
2010-2011,Paper,and,cardboard,Printing,and,writing,paper,Construction,and,Demolition,0,0,0,0,1767.692059,0
2010-2011,Paper,and,cardboard,Printing,and,writing,paper,Municipal,Solid,Waste,8297,0,0,0,92854.90612,0.082025
2010-2011,Plastic,HDPE,(2),Commercial,and,Industrial,0,0,0,0,57761.994245,0,,,,
2010-2011,Plastic,HDPE,(2),Construction,and,Demolition,0,0,0,0,4623.525801,0,,,,
2010-2011,Plastic,HDPE,(2),Municipal,Solid,Waste,0,0,0,0,79126.211607,0,,,,
2010-2011,Plastic,LDPE,(4),Commercial,and,Industrial,0,0,0,0,43261.075189,0,,,,
2010-2011,Plastic,LDPE,(4),Construction,and,Demolition,0,0,0,0,3462.808026,0,,,,
2010-2011,Plastic,LDPE,(4),Municipal,Solid,Waste,0,0,0,0,37741.421274,0,,,,
2010-2011,Plastic,Other,plastics,(7),Commercial,and,Industrial,0,0,0,0,32456.438311,0,,,
2010-2011,Plastic,Other,plastics,(7),Construction,and,Demolition,0,0,0,0,2479.085362,0,,,
2010-2011,Plastic,Other,plastics,(7),Municipal,Solid,Waste,0,0,0,0,93313.505628,0,,,
2010-2011,Plastic,PET,(1),Commercial,and,Industrial,0,0,0,0,23926.516446,0,,,,
2010-2011,Plastic,PET,(1),Construction,and,Demolition,0,0,0,0,1915.184327,0,,,,
2010-2011,Plastic,PET,(1),Municipal,Solid,Waste,0,0,0,0,52800.452071,0,,,,
